Type,NumProc,Threads,Op,1e6,1e7,1e8
MPI,2,1,Dot,0.281305,0.276725,0.288242
MPI,4,1,Dot,0.594198,0.592192,0.540874
MPI,8,1,Dot,1.18273,1.16587,1.15225
MPI,16,1,Dot,2.04047,2.20514,2.03639
MPI,32,1,Dot,4.23502,4.27192,4.29528
MPI,40,1,Dot,5.25603,5.48104,5.43722
MPI,32,2,Dot,6.16105,6.26826,6.25984
MPI,40,2,Dot,7.55522,7.77037,7.797
MPI,40,3,Dot,7.77815,8.11548,8.65133
MPI,40,4,Dot,9.59842,10.1465,9.84951
MPI,40,6,Dot,9.8775,10.5682,10.3939
MPI,40,8,Dot,10.4919,10.9901,10.836
MPI,2,1,AXpY,,,
MPI,4,1,AXpY,,,
MPI,8,1,AXpY,,,
MPI,16,1,AXpY,,,
MPI,32,1,AXpY,,,
MPI,40,1,AXpY,,,
MPI,64,1,AXpY,,,
MPI,80,1,AXpY,,,
MPI,120,1,AXpY,,,
MPI,160,1,AXpY,,,
MPI,2,1,SpMV,,,
MPI,4,1,SpMV,,,
MPI,8,1,SpMV,,,
MPI,16,1,SpMV,,,
MPI,32,1,SpMV,,,
MPI,40,1,SpMV,,,
MPI,64,1,SpMV,,,
MPI,80,1,SpMV,,,
MPI,120,1,SpMV,,,
MPI,160,1,SpMV,,,
MPI,2,1,CGSolver,,,
MPI,4,1,CGSolver,,,
MPI,8,1,CGSolver,,,
MPI,16,1,CGSolver,,,
MPI,32,1,CGSolver,,,
MPI,40,1,CGSolver,,,
MPI,64,1,CGSolver,,,
MPI,80,1,CGSolver,,,
MPI,120,1,CGSolver,,,
MPI,160,1,CGSolver,,,
OpenMP,1,2,Dot,0.300922,0.300709,0.296554
OpenMP,1,4,Dot,0.601168,0.602436,0.591719
OpenMP,1,8,Dot,1.12729,1.12585,1.1079
OpenMP,1,16,Dot,2.16618,2.17559,2.1078
OpenMP,1,32,Dot,3.10261,3.2463,3.00299
OpenMP,1,40,Dot,3.81488,4.08225,3.80341
OpenMP,1,60,Dot,3.82272,4.42505,4.34894
OpenMP,1,80,Dot,4.52494,5.28819,5.2221
OpenMP,1,120,Dot,3.71911,4.99139,5.60368
OpenMP,1,160,Dot,4.03472,5.67538,5.8043
OpenMP,1,2,AXpY,0.220587,0.220487,0.209703
OpenMP,1,4,AXpY,0.436763,0.436876,0.411089
OpenMP,1,8,AXpY,0.828372,0.828339,0.778485
OpenMP,1,16,AXpY,1.60079,1.60646,1.52092
OpenMP,1,32,AXpY,2.39876,2.42714,2.19839
OpenMP,1,40,AXpY,2.96329,3.05072,2.76473
OpenMP,1,60,AXpY,3.05818,3.30163,3.21257
OpenMP,1,80,AXpY,3.6345,3.94273,3.79492
OpenMP,1,120,AXpY,3.71407,4.10764,4.11398
OpenMP,1,160,AXpY,3.29921,4.13518,4.24579
OpenMP,1,2,SpMV,0.127846,0.127593,0.127003
OpenMP,1,4,SpMV,0.251102,0.249896,0.250845
OpenMP,1,8,SpMV,0.48134,0.482144,0.478431
OpenMP,1,16,SpMV,0.934143,0.938284,0.844518
OpenMP,1,32,SpMV,1.40484,1.4312,1.41582
OpenMP,1,40,SpMV,1.75595,1.78706,1.75265
OpenMP,1,60,SpMV,1.85922,2.01231,2.00478
OpenMP,1,80,SpMV,2.26789,2.26497,2.34695
OpenMP,1,120,SpMV,2.36065,2.5283,2.52529
OpenMP,1,160,SpMV,2.25598,2.54125,2.58539
OpenMP,1,2,CGSolver,0.0829105,0.0830233,0.0829571
OpenMP,1,4,CGSolver,0.160717,0.161569,0.16192
OpenMP,1,8,CGSolver,0.297274,0.300877,0.301486
OpenMP,1,16,CGSolver,0.535491,0.560002,0.563258
OpenMP,1,32,CGSolver,0.76496,0.773002,0.823514
OpenMP,1,40,CGSolver,0.890344,0.983785,0.895145
OpenMP,1,60,CGSolver,0.898503,1.05905,1.09827
OpenMP,1,80,CGSolver,1.05815,1.23718,1.25988
OpenMP,1,120,CGSolver,0.976246,1.27145,1.33129
OpenMP,1,160,CGSolver,0.955972,1.28518,1.354
