Type,NumProc,Threads,Op,1e6,1e7,1e8
OpenMP,1,1,Dot,0.984642,0.984923,0.985723
OpenMP,1,2,Dot,1.95584,1.96543,1.97106
OpenMP,1,4,Dot,3.81405,3.8558,3.91838
OpenMP,1,6,Dot,5.61467,5.69538,5.43183
OpenMP,1,12,Dot,7.05627,8.66187,8.93337
OpenMP,1,1,AXpY,1.66531,1.61403,1.61754
OpenMP,1,2,AXpY,3.2103,3.07767,3.05308
OpenMP,1,4,AXpY,4.04918,4.30115,4.1431
OpenMP,1,6,AXpY,4.71688,4.84408,4.6233
OpenMP,1,12,AXpY,4.77709,4.66664,4.54436
OpenMP,1,1,SpMV,1.05628,1.00677,0.948831
OpenMP,1,2,SpMV,2.10344,1.97161,1.88122
OpenMP,1,4,SpMV,4.05042,3.9528,3.69087
OpenMP,1,6,SpMV,5.49191,5.91783,5.46585
OpenMP,1,12,SpMV,6.21357,5.96599,5.73586
OpenMP,1,1,CGSolver,1.0654,1.09015,1.10187
OpenMP,1,2,CGSolver,2.0444,2.11668,2.13215
OpenMP,1,4,CGSolver,3.90618,3.91848,3.9903
OpenMP,1,6,CGSolver,5.56847,4.59959,5.18639
OpenMP,1,12,CGSolver,5.5989,5.74448,5.76883
MPI,1,1,Dot,0.981594,0.988481,0.995037
MPI,2,1,Dot,1.94293,1.94308,1.92878
MPI,4,1,Dot,3.77435,3.89627,3.87385
MPI,6,1,Dot,5.60785,5.77003,5.59615
MPI,12,1,Dot,7.6897,8.44534,8.26624
MPI,1,1,AXpY,1.65214,1.42874,1.55242
MPI,2,1,AXpY,2.35295,2.89271,2.82551
MPI,4,1,AXpY,5.00605,3.74542,3.96134
MPI,6,1,AXpY,8.16014,4.33329,4.37917
MPI,12,1,AXpY,8.54018,4.31388,4.27964
MPI,1,1,SpMV,1.11562,1.12216,1.04296
MPI,2,1,SpMV,2.01911,1.82973,2.14084
MPI,4,1,SpMV,3.90158,4.06648,3.9017
MPI,6,1,SpMV,5.2956,6.22933,6.33356
MPI,12,1,SpMV,5.30657,5.9907,7.92202
MPI,1,1,CGSolver,0.892489,0.875733,0.866698
MPI,2,1,CGSolver,1.69813,1.72544,1.75885
MPI,4,1,CGSolver,3.1521,3.31872,3.30344
MPI,6,1,CGSolver,2.9326,4.83564,4.50449
MPI,12,1,CGSolver,2.80352,4.13689,5.52916
CUDA,1,12,Dot,65.917,61.9164,67.5239
CUDA,1,12,AXpY,43.0737,38.6925,41.3048
CUDA,1,12,SpMV,53.484,56.215,54.5796
CUDA,1,12,CGSolver,18.9161,20.4052,24.2778
